id,casrn,tri_chemical_id,srs_id,casrn,source_chemical_name,tri_chemical_name,Other common names,NJ Right to Know FactSheet (URL),Carcinogens,Carcinogenicity source,Developmental or Reproductive Toxicants,Developmental / Reproductive Toxicity sources,Mutagens,Mutagen source,Neurotoxicants,Neuro source,Endocrine Disruptors,Endocrine Source,Asthmagens,Asthmagen Source
9ab8baeb-7666-4c9a-8b79-0c8eae2ca03c,1163-19-5,1163195,79996,1163-19-5,Decabromodiphenyl oxide,Decabromodiphenyl oxide,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0598.pdf,,,Yes,S14,,,,,Yes,S3,,
9ab8b63c-ba9b-46d8-8704-94f2adc4d1ed,117-79-3,117793,,117-79-3,2-Aminoanthraquinone,,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0069.pdf,Yes,"S4, S16, S18",,,,,,,,,,
9ab8bcfc-7550-4afc-9abb-dfe426a6c27e,117-81-7,117817,29934,117-81-7,Di(2-ethylhexyl) phthalate,Di(2-ethylhexyl) phthalate,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0238.pdf,Yes,"S4, S14,S16, S18",Yes,"S4, S11, S14",,,,,Yes,"S9, S3, S11, S14",Yes ,S17 
9ab8bf9e-dd2e-4e59-9893-bfbfc036d604,118-74-1,118741,30346,118-74-1,Hexachlorobenzene,Hexachlorobenzene,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0978.pdf,Yes,"S4,  S11, S14, S16, S18",Yes,S4,,,Yes ,S7 ,Yes,S3,Yes,S8
9ab8cc7e-d889-4540-81d8-2cdb5bc8123f,118400-71-8,118400718,,118400-71-8,"Disulfides, bis(γ-ω-perfluoro-C6-20-alkyl)",,,,,,,,,,,,,,,
9ab8bd35-1513-4bfe-b545-1690003143c5,119-90-4,119904,30924,119-90-4,"3,3'-Dimethoxybenzidine","3,3'-Dimethoxybenzidine",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0734.pdf,Yes,"S4,  S11, S14, S16, S18",,,,,,,Yes,S3,,
9ab8bd6e-0be3-40f1-8332-071f0d7c960d,119-93-7,119937,30940,119-93-7,"3,3'-Dimethylbenzidine","3,3'-Dimethylbenzidine",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0742.pdf,Yes,"S4,  S11, S14, S16, S18",,,,,,,,,,
9ab8b6a6-62de-4ca9-ad6b-d9d94964e06f,0120-12-7,120127,31013,120-12-7,Anthracene,Anthracene,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0139.pdf,Yes,"S4, S14 ",,,,,,,Yes,S3,Yes,S8
9ab8be6a-a277-45b0-9d35-54b4ab8d643b,120-36-5,120365,,120-36-5,"2,4-DP (Dichlorprop)",,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/3076.pdf,Yes,S18,,,,,,,Yes,S3,,
9ab8c079-f998-404c-9cc2-867dcf89d758,120-58-1,120581,31302,120-58-1,Isosafrole,Isosafrole,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0198.pdf,,,,,,,,,,,,
9ab8ba38-587a-4ecd-8daa-10469c282c6d,120-71-8,120718,31369,120-71-8,p-Cresidine,p-Cresidine,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1467.pdf,Yes,"S4,  S11, S14, S16, S18",,,,,,,Yes,S3,,
9ab8b8f9-8863-4f81-a9d7-5d23ba5b8be4,120-80-9,120809,31427,120-80-9,Catechol,Catechol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0722.pdf,Yes,"S4,  S11, S14, S18",,,,,,,Yes,S3,,
9ab8c750-04dd-4add-8bf0-a3fc4487e5dd,120-82-1,120821,31435,120-82-1,"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1887.pdf,,,,,,,,,,,Yes,S8
9ab8bc69-dd81-4616-aa5f-60d965087e6f,120-83-2,120832,31443,120-83-2,"2,4-Dichlorophenol","2,4-Dichlorophenol",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2344.pdf,,,,,,,,,Yes,S3,,
9ab8bdef-fd35-452c-aa27-6b5db5138e3a,121-14-2,121142,31575,121-14-2,"2,4-Dinitrotoluene","2,4-Dinitrotoluene",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0783.pdf,Yes,"S4,  S14, S18",Yes,S4,,,,,Yes,S3,,
9ab8c799-0096-457c-a26d-017b13e0a174,121-44-8,121448,31708,121-44-8,Triethylamine,Triethylamine,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1907.pdf,,,,,,,,,,,Yes,S8
9ab8bd65-f841-48da-ace4-7ad660e57b5a,121-69-7,121697,31880,121-69-7,"N,N-Dimethylaniline","N,N-Dimethylaniline",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0741.pdf,,,,,,,,,,,,
9ab8c0ac-1d1c-491d-9854-09611a3d2e9e,121-75-5,121755,31922,121-75-5,Malathion,Malathion,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1150.pdf,Yes,"S4, S18, S19",,,,,,,Yes,S3,Yes,S8
9ab8c854-e51c-40bc-9d97-faa9c2790d2b,12122-67-7,12122677,179374,12122-67-7,Zineb,Zineb,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2045.pdf,,,,,,,,,Yes,S3,,
9ab8c45a-ce74-4811-9c4f-91094525f5a8,12185-10-3,12185103,153049,12185-10-3,Phosphorus (yellow or white),Phosphorus (yellow or white),,,,,,,,,,,,,,
